天赋效果ID,效果类型(0--新增技能[参数1:新增技能ID参数2槽位类型参数3槽位-1为按槽位表读取] 1--影响技能字段[参数1:技能ID 参数2:技能字段 参数3:add(0) or set(1)参数4:天赋数值] 2--影响技能条件效果[参数1:技能ID 参数2:技能事件 参数3:子类型(0--增加条件 1--减少条件 2--增加效果 3--减少效果) 4--条件效果ID] 3--开启效果列表[参数1:效果列表] 4--替换技能[参数1:旧技能ID 参数2:新技能ID]) 5--增加buff[参数1：buffID],参数1,参数2,参数3（槽位）,参数4（槽位等级）,参数5,参数6,备注
640,0,1136,2,6,1,0,0,精灵游侠翻滚
641,0,1137,2,7,1,0,0,精灵游侠翻滚
642,0,1138,2,8,1,0,0,精灵游侠翻滚
643,0,1139,2,9,1,0,0,精灵游侠翻滚
644,0,1140,2,-1,-1,0,0,精灵游侠翻滚
645,0,1141,2,-1,-1,0,0,双枪女警翻滚
646,0,1142,2,-1,-1,0,0,双枪女警翻滚
647,0,1143,2,-1,-1,0,0,双枪女警翻滚
648,0,1144,2,-1,-1,0,0,双枪女警翻滚
649,0,1145,2,-1,-1,0,0,双枪女警翻滚
650,0,1153,2,-1,-1,0,0,暴走左轮
651,5,49,1,,,,0,引导出生buff
652,0,1156,2,-1,-1,0,0,冲锋斩击
653,0,1159,2,4,1,0,0,新手卓格普攻
654,0,1160,2,-1,-1,0,0,新手卓格普攻
655,0,1161,2,-1,-1,0,0,新手卓格普攻
656,0,1162,2,-1,-1,0,0,新手卓格普攻
657,0,1163,2,4,1,0,0,野鹿普攻
658,0,1164,2,-1,-1,0,0,野鹿普攻
659,5,3000,1,,,,,野鹿天赋
660,0,1191,2,4,1,0,0,游神普攻
661,0,1192,2,-1,-1,0,0,游神普攻
662,0,1182,1,,,,,游神天赋
663,5,50,6,,,,,新手引导步骤5
664,5,50,8,,,,,新手引导步骤7
665,5,47,1,,,,,受到攻击警示
667,0,1240,2,6,1,0,0,野鹿翻滚
668,0,1241,2,7,1,0,0,野鹿翻滚
669,0,1242,2,8,1,0,0,野鹿翻滚
670,0,1243,2,9,1,0,0,野鹿翻滚
671,5,2999,1,,,,,野鹿召唤花冷却1
672,5,2999,2,,,,,野鹿召唤花冷却2
673,5,2999,3,,,,,野鹿召唤花冷却3
674,3,6246,,,,,,9号战场初始经验
675,0,1247,2,6,1,0,0,收割者翻滚
676,0,1248,2,7,1,0,0,收割者翻滚
677,0,1249,2,8,1,0,0,收割者翻滚
678,0,1250,2,9,1,0,0,收割者翻滚
679,0,1251,2,-1,-1,0,0,收割者翻滚
680,0,1252,2,-1,-1,0,0,虫子大招困人
681,0,1254,2,-1,-1,0,0,鱼姬袭扰范围伤害
682,0,1134,2,-1,-1,0,0,炮车范围伤害
753,0,1029,2,-1,1,0,0,摩托普攻3
755,0,1314,2,6,1,0,0,小鱼人翻滚1
756,0,1315,2,7,1,0,0,小鱼人翻滚2
757,0,1316,2,8,1,0,0,小鱼人翻滚3
758,0,1317,2,9,1,0,0,小鱼人翻滚4
759,0,1318,2,6,1,0,0,魔山翻滚1
760,0,1319,2,7,1,0,0,魔山翻滚2
761,0,1320,2,8,1,0,0,魔山翻滚3
762,0,1321,2,9,1,0,0,魔山翻滚4
763,0,1322,2,6,1,0,0,魔山翻滚4
764,0,1323,2,7,1,0,0,魔山翻滚4
765,0,1324,2,8,1,0,0,魔山翻滚4
766,0,1325,2,9,1,0,0,魔山翻滚4
767,3,6247,,,,,,风月游侠被动
768,0,1326,2,-1,-1,0,0,异鬼普攻3
769,0,1329,2,4,1,0,0,暗夜普攻1
770,0,1330,2,-1,-1,0,0,暗夜普攻2
771,0,1331,2,-1,-1,0,0,暗夜普攻3
772,0,1335,2,20,1,0,0,展示徽章
773,0,1369,2,6,1,0,0,花仙子前翻
774,0,1370,2,7,1,0,0,花仙子后翻
775,0,1371,2,8,1,0,0,花仙子左翻
776,0,1372,2,9,1,0,0,花仙子右翻
777,0,942,2,10,1,0,0,花仙子翻滚
778,0,947,2,6,1,0,0,劳勃前翻
779,0,948,2,7,1,0,0,劳勃后翻
780,0,949,2,8,1,0,0,劳勃左翻
781,0,950,2,9,1,0,0,劳勃右翻
782,0,944,2,-1,1,0,0,劳勃翻滚
783,0,1340,2,6,1,0,0,尸鬼前翻
784,0,1341,2,7,1,0,0,尸鬼后翻
785,0,1342,2,8,1,0,0,尸鬼左翻
786,0,1343,2,9,1,0,0,尸鬼右翻
787,0,1344,2,-1,-1,0,0,尸鬼翻滚
788,0,1361,2,6,2,0,0,兽王大前翻
789,0,1362,2,7,2,0,0,兽王大后翻
790,0,1363,2,8,2,0,0,兽王大左翻
791,0,1364,2,9,2,0,0,兽王大右翻
792,0,1339,2,-1,-1,0,0,兽王大翻滚
793,0,1347,2,6,-1,0,0,布兰翻滚1
794,0,1348,2,7,-1,0,0,布兰翻滚2
795,0,1349,2,8,-1,0,0,布兰翻滚3
796,0,1350,2,9,-1,0,0,布兰翻滚4
797,0,1351,2,-1,-1,0,0,卢登
798,0,1352,2,-1,-1,0,0,卢登
799,0,1120,2,-1,-1,0,0,男巫翻滚
800,0,1121,2,6,-1,0,0,男巫前翻
801,0,1122,2,7,-1,0,0,男巫后翻
802,0,1123,2,8,-1,0,0,男巫左翻
803,0,1124,2,9,-1,0,0,男巫右翻
804,0,1035,2,6,-1,0,0,摩托翻滚1
805,0,1036,2,7,-1,0,0,摩托翻滚2
806,0,1037,2,8,-1,0,0,摩托翻滚3
807,0,1038,2,9,-1,0,0,摩托翻滚4
808,0,1353,2,6,-1,0,0,红女巫翻滚1
809,0,1354,2,7,-1,0,0,红女巫翻滚2
810,0,1355,2,8,-1,0,0,红女巫翻滚3
811,0,1356,2,9,-1,0,0,红女巫翻滚4
812,5,3658,1,,,,,伤疤代价
813,0,35,2,-1,-1,0,0,吸魂奇术
814,0,1385,2,-1,-1,0,0,龙猫萝莉回城
815,0,1384,2,-1,-1,0,0,北海鱼姬回城
816,0,1383,2,-1,-1,0,0,芳野鹿灵回城
817,0,1016,2,-1,-1,0,0,铁拳兽宝回城
818,0,1382,2,-1,-1,0,0,收割者回城
819,0,1381,2,-1,-1,0,0,银河战警回城
820,5,2992,1,,,,,非战斗状态增加30%移动速度
821,5,3674,1,,,,,野怪蓝量补给
822,5,54,1,,,,,新手无敌buff
823,3,6915,,,,,,吃鸡地图打野额外伤害
824,0,1393,2,18,,,,吃鸡地图回血
825,5,4321,1,,,,,
826,0,1394,2,6,-1,0,0,巨盾前翻
827,0,1395,2,7,-1,0,0,巨盾后翻
828,0,1396,2,8,-1,0,0,巨盾左翻
829,0,1397,2,9,-1,0,0,巨盾右翻
830,0,1398,2,6,-1,0,0,龙母前翻
831,0,1399,2,7,-1,0,0,龙母后翻
832,0,1400,2,8,-1,0,0,龙母左翻
833,0,1401,2,9,-1,0,0,龙母右翻
834,0,1402,2,6,-1,0,0,幻影利刃前翻
835,0,1403,2,7,-1,0,0,幻影利刃后翻
836,0,1404,2,8,-1,0,0,幻影利刃左翻
837,0,1405,2,9,-1,0,0,幻影利刃右翻
838,0,1406,2,6,-1,0,0,凛冬战魂前翻
839,0,1407,2,7,-1,0,0,凛冬战魂后翻
840,0,1408,2,8,-1,0,0,凛冬战魂左翻
841,0,1409,2,9,-1,0,0,凛冬战魂右翻
842,0,1410,2,6,-1,0,0,李小龙前翻
843,0,1411,2,7,-1,0,0,李小龙后翻
844,0,1412,2,8,-1,0,0,李小龙左翻
845,0,1413,2,9,-1,0,0,李小龙右翻
846,0,1414,2,6,-1,0,0,北海鱼姬前翻
847,0,1415,2,7,-1,0,0,北海鱼姬后翻
848,0,1416,2,8,-1,0,0,北海鱼姬左翻
849,0,1417,2,9,-1,0,0,北海鱼姬右翻
850,0,1419,2,19,,,,吃鸡地图隐身
851,5,4322,1,,,,,全英雄击杀或助攻播放金币音效
852,0,629,2,-1,-1,0,0,绿先知延迟技能
853,0,1040,2,-1,-1,0,0,摩托撞人
854,0,1420,2,-1,-1,0,0,吃鸡地图主动技能
855,0,1421,2,-1,-1,0,0,吃鸡地图主动技能
856,0,1422,2,-1,-1,0,0,吃鸡地图主动技能
857,0,1423,2,-1,-1,0,0,吃鸡地图主动技能
858,0,1424,2,-1,-1,0,0,吃鸡地图主动技能
859,0,1425,2,-1,-1,0,0,吃鸡地图主动技能
860,0,1426,2,-1,-1,0,0,吃鸡地图主动技能
861,0,1427,2,-1,-1,0,0,吃鸡地图主动技能
862,0,1428,2,-1,-1,0,0,吃鸡地图主动技能
863,0,1437,2,-1,-1,0,0,吃鸡地图进化
864,0,1449,2,16,-1,0,0,炸弹
865,0,1450,2,-1,-1,0,0,炸弹
866,5,4951,1,-1,-1,0,0,生存地图死亡广播
867,5,4954,1,-1,-1,0,0,生存地图英雄出生广播
868,5,4955,1,-1,-1,0,0,生存地图6级前加经验
869,5,4955,2,-1,-1,0,0,生存地图6级后加经验
870,0,1451,2,-1,-1,0,0,吃鸡地图召唤随从
871,5,2535,1,,,,0,残血屏幕闪红
872,3,7029,,,,,,打小龙额外伤害
