物品ID,装备名称,物品类型(1、装备 2、物品),装备图标ID,装备标签组,装备标签子类型,是否英雄专属（0.非英雄专属 1.英雄专属）,英雄ID,职业限制（0.无限制  1.近战  2.远程）,合成需要装备,能合装备,绝对价格,出售价格,效果ID组,效果类型组（1.属性可任意叠加  2.属性是唯一被动，无名字  3.属性是唯一被动，且有大类，有名字）,物品移除调用效果（通过buff调用的永久性效果，出售时需要调用一个删除buff的效果来删除这个buff）,继承效果ID组,继承效果类型组（1.属性可任意叠加  2.属性是唯一被动，无名字  3.属性是唯一被动，且有大类，有名字）,继承物品移除调用效果（通过buff调用的永久性效果，出售时需要调用一个删除buff的效果来删除这个buff）,战场限制（战场ID）,自动使用（装备满格后，购买能够不占格子，自动使用其效果）,特殊槽位物品（0.非眼位  1.眼位）,是否能主动使用（0.无主动技能  1.有主动技能）,使用是否移除（0.主动使用完不移除  1.主动使用完移除）,是否能叠加（0.同格不能叠加  1.同格能叠加）,最大叠加数量,最大拥有数,使用BuffID,使用Buff冷却ID,使用技能ID,可使用次数（主动技能使用buff实现，才可使用）,对应图标组,购买界面描述,物品栏描述,装备贵重度,标识,装备定位说明
96,$追猎者的刀锋：吞噬者,1,1,1,1003;,0,,0,92;17,,2625,1313,2088;2089;2140;1604;3507;1609;3378;3508,1;1;1;1;1;1;1;1,2141;3379,2088;2089;2140;1604;3507;1609;3378;3508,1;1;1;1;1;1;1;1,2141;3379,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+24%普攻伤害<br>攻击时附带30魔法伤害<br>+150%基础法力回复[/green]<br>[yellow]唯一被动_游击：[/yellow][blue]普攻或技能命中英雄时，造成10点额外魔法伤害。[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能每次命中野怪造成18额外魔法伤害，同时回复自身4+（0.06*攻击力）的生命值。[/blue][yellow]被动—吞噬之灵：[/yellow][blue]参与击杀敌对目标会提供层数，每一层会使附带的魔法伤害提升1。[/blue]<br>[yellow]唯一被动 深寒惩戒：[/yellow][blue]【惩戒】可以对敌方英雄使用，造成少量真实伤害，并减速敌方40%，持续3秒。[/blue],$[green]+24%普攻伤害<br>攻击时附带30魔法伤害<br>+150%基础法力回复[/green]<br>[yellow]唯一被动_游击：[/yellow][blue]普攻或技能命中英雄时，造成10点额外魔法伤害。[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能每次命中野怪造成18额外魔法伤害，同时回复自身4（+[PA=6]）的生命值。[/blue][yellow]被动—吞噬之灵：[/yellow][blue]参与击杀敌对目标会提供层数，每一层会使附带的魔法伤害提升1。[/blue]<br>[yellow]唯一被动 深寒惩戒：[/yellow][blue]【惩戒】可以对敌方英雄使用，造成少量真实伤害，并减速敌方40%，持续3秒。[/blue],1,,  
97,$亡者的板甲,1,1,3;3,4001;4002;5002,0,,0,35;29,,2600,1300,2234;2240;2241,3;1;1,,2234;2240;2241,3;1;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+500生命<br>+50物防[/green]<br>[yellow]唯一被动：[/yellow][blue]移动能充能，充满后加96移速，下次普攻消耗充能，减少敌方75%移速，持续1秒，并造成100物理伤害。[/blue],$[green]+500生命<br>+50物防[/green]<br>[yellow]唯一被动：[/yellow][blue]移动能充能，充满后加96移速，下次普攻消耗充能，减少敌方75%移速，持续1秒，并造成100物理伤害。[/blue],1,,  
98,$斯特拉克的挑战护手,1,1,3;4,4001;2001,0,,0,30;28,,2700,1350,2296;2297;2298,2;1;1,,2296;2297;2298,2;1;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+500生命<br>+30物攻[/green]<br>[yellow]唯一被动：[/yellow][blue]如果5秒内受到25%最大生命值的伤害，则获得持续8秒的斯特拉克之怒。[/blue]<br>[yellow]斯特拉克之怒：[/yellow][blue]额外获得30攻击力，同时获得一个25%最大生命值血量的护盾。[/blue],$[green]+500生命<br>+30物攻[/green]<br>[yellow]唯一被动：[/yellow][blue]如果5秒内受到25%最大生命值的伤害，则获得持续8秒的斯特拉克之怒。[/blue]<br>[yellow]斯特拉克之怒：[/yellow][blue]额外获得30攻击力，同时获得一个25%最大生命值血量的护盾。[/blue],1,,  
99,$疾射火炮（仅限远程）,1,1,4;4;6,2002;5002,0,,2,1;47,,2550,1275,2318;2317;2316;2319,1;1;1;2,1403,2318;2317;2316;2319,1;1;1;2,1403,1;3;4;5;6,0,0,0,0,0,1,6,,2016,,,,$[green]+24%普攻伤害<br>+20%暴击概率<br>+6%移速[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻与移动会充能，当充能数达到100时，下次普攻射程会加5米，并造成20（+0.5*攻击力）的魔法。[/blue],$[green]+24%普攻伤害<br>+20%暴击概率<br>+6%移速[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻与移动会充能，当充能数达到100时，下次普攻射程会加5米，并造成20（+[PA=50]）的魔法。[/blue],1,,  
100,$草丛甲（仅限近战）,1,1,3;3,4001;4002,0,,1,35;29,,2600,1300,2315;2240;2241,2;1;1,,2315;2240;2241,2;1;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+500生命<br>+50物防[/green]<br>[yellow]唯一被动：[/yellow][blue]进入草丛时，下一次普攻时会跳跃至目标面前（最大距离10米）。[/blue],$[green]+500生命<br>+50物防[/green]<br>[yellow]唯一被动：[/yellow][blue]进入草丛时，下一次普攻时会跳跃至目标面前（最大距离10米）。[/blue],1,,  
101,$洞察之石,1,1,1;1;2,1001;1001;1003,0,,0,93;28,,400,200,3345,1,,3345,1,,1;3;4;5;6,0,1,1,0,0,1,6,,2037,401,,,$[yellow]点击使用：[/yellow][blue]消耗充能召唤出一个隐形守卫，来监视一片区域，持续60秒。总共三层充能，每90秒回复一层，回到泉水补满所用层数。每个英雄最多召唤3个。[/blue],$[yellow]点击使用：[/yellow][blue]消耗充能召唤出一个隐形守卫，来监视一片区域，持续60秒。总共三层充能，每90秒回复一层，回到泉水补满所用层数。每个英雄最多召唤3个。[/blue],0,,  
102,$上古钱币,1,1,1;3,1001;3004,0,,0,,103,400,200,3641;3645;3976,1;3;1,3977,3641;3645;3976,1;3;1,3977,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+50%基础法力回复[/green]<br>[yellow]唯一被动 恩惠：[/yellow][blue]附近的每个小兵死亡时都会给你提供7金币。（但你永远不会获得小兵死亡金币掉落。）[/blue],$[green]+50%基础法力回复[/green]<br>[yellow]唯一被动 恩惠：[/yellow][blue]附近的每个小兵死亡时都会给你提供7金币。（但你永远不会获得小兵死亡金币掉落。）[/blue],1,,  
103,$游牧民印章,1,1,3;4,3004;4001,0,,0,102;28,104,1250,625,3642;3643;3646;3976,1;1;3;1,3977,3642;3643;3646;3976,1;1;3;1,3977,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+100%基础法力回复[/green]<br>[green]+150生命值[/green]<br>[yellow]唯一被动 恩惠：[/yellow][blue]附近的每个小兵死亡时都会给你提供11金币。（但你永远不会获得小兵死亡金币掉落。）[/blue],$[green]+100%基础法力回复[/green]<br>[green]+150生命值[/green]<br>[yellow]唯一被动 恩惠：[/yellow][blue]附近的每个小兵死亡时都会给你提供11金币。（但你永远不会获得小兵死亡金币掉落。）[/blue],1,,  
104,$飞升护符,1,1,3;4,3004;4001,0,,0,103;28,,2400,1200,3642;3644;3646;3657;3976,1;1;3;3;1,3977,3642;3644;3646;3657;3976,1;1;3;3;1,3977,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+100%基础法力回复[/green]<br>[green]+350生命值[/green]<br>[yellow]唯一被动 恩惠：[/yellow][blue]附近的每个小兵死亡时都会给你提供11金币。（但你永远不会获得小兵死亡金币掉落。）[/blue]<br>[yellow]唯一被动 碾压猛击：[/yellow][blue]每隔45秒，你的下一次普攻的射程会变成10米，命中时会减少目标50%的移速，持续3秒。[/blue],$[green]+100%基础法力回复[/green]<br>[green]+350生命值[/green]<br>[yellow]唯一被动 恩惠：[/yellow][blue]附近的每个小兵死亡时都会给你提供11金币。（但你永远不会获得小兵死亡金币掉落。）[/blue]<br>[yellow]唯一被动 碾压猛击：[/yellow][blue]每隔45秒，你的下一次普攻的射程会变成10米，命中时会减少目标50%的移速，持续3秒。[/blue],1,,  
105,$飞行卷轴,1,34,,,0,,0,,,100,50,4359,1,,4359,1,,1;2;3;4;5;6;7;8;9,2,0,1,1,1,5,5,,,,,,$<br>[yellow]快捷键T[/yellow]<br>[blue]有了飞行卷轴就可以召唤翅膀，展翅高飞。[/blue],$<br>[yellow]快捷键T[/yellow]<br>[blue]有了飞行卷轴就可以召唤翅膀，展翅高飞。[/blue],0,,  
136,$炽天使守护,1,96,4;4,4001;4002,0,,0,150;194,,2600,1300,4088;4089;4241;4756;7033,1;1;2;2;2,5388,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+400生命值<br>+40护甲[/green]<br>[yellow]唯一被动 天使之炎：[/yellow][blue]对周围的敌人造成每秒 35（+1*英雄等级）点的魔法伤害。[/blue],$[green]+400生命值<br>+40护甲[/green]<br>[yellow]唯一被动 天使之炎：[/yellow][blue]对周围的敌人造成每秒 35（+1*英雄等级）点的魔法伤害。[/blue],0,,[size=18][orange]坦克清兵[/orange][/size]
204,$埃癸斯巨盾,1,101,4;4;4,4002;4006;4004,0,,0,151;157,,2800,1400,6040;6041;19242;19278,1;2;1;1,,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+90护甲<br>+400法力值<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]抵挡敌方英雄25%的普攻伤害。[/blue],$[green]+90护甲<br>+400法力值<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]抵挡敌方英雄25%的普攻伤害。[/blue],0,,[size=18][orange]最强物防装[/orange][/size]
139,$巫妖斗篷,1,95,4;4;4,4001;4003;4004,0,,0,200;170,,2800,1400,4093;4094;4253;6124;19277,1;1;2;2;1,,4253;6124,2;2,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+400生命值<br>+60魔抗<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]受到的治疗和护盾效果提升25%[/blue],$[green]+400生命值<br>+60魔抗<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]受到的治疗和护盾效果提升25%[/blue],0,,[size=18][orange]最强法防装[/orange][/size]
135,$迅龙护腿,1,11,4;4;7;4,4001;4002;7001;4004,0,,0,231;151,,2650,1325,4086;4087;4230;19274,1;1;2;2,4366,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+400生命值<br>+50护甲<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]装备会随着时间充能，充满后获得额外92移速，并且下次普攻或技能命中英雄时会消耗所有充能，减少其30%移速，持续2秒。[/blue],$[green]+400生命值<br>+50护甲<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]装备会随着时间充能，充满后获得额外92移速，并且下次普攻或技能命中英雄时会消耗所有充能，减少其30%移速，持续2秒。[/blue],0,,[size=18][orange]游走/开团[/orange][/size]
244,巨人之矛,1,148,4;6,4001;6001,0,,0,150;176,,2600,1300,2086;2087;3508;4241;6277;4756,1;1;1;2;2;2,1267;3379;5388,2086;141;2087;778;1604;3507;1609;3378;3508,1;1;1;1;1;1;1;1;1,1267;3379,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+400生命值<br>+7.5%生命值[/green]<br>[green]+150%基础法力回复[/green]<br>[yellow]唯一被动 天使之炎：[/yellow][blue]对周围的敌人造成每秒 35（+1*英雄等级）点的魔法伤害。[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能命中野怪时每秒最多额外造成（30+英雄等级）点的法术伤害，且每秒最多回复自身（30+英雄等级）点的生命值[/blue],$[green]+400生命值<br>+7.5%生命值[/green]<br>[green]+150%基础法力回复[/green]<br>[yellow]唯一被动 天使之炎：[/yellow][blue]对周围的敌人造成每秒 [LEVEL=100+35]点的魔法伤害。[/blue]<br>[yellow]唯一被动_狩猎：[/yellow][blue]普攻或技能命中野怪时每秒最多额外造成[LEVEL=100+30]点的法术伤害，且每秒最多回复自身[LEVEL=100+30]点的生命值[/blue],0,,[size=18][orange]坦克打野[/orange][/size]
221,$原力重铠,1,203,4;4;4,4001;4005;4004,0,,0,150;239,,3000,1500,19123;19124;19125;19231;19288,1;1;2;2;1,19128;19232;19340,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+800生命值<br>+200%基础生命回复<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]脱离战斗状态下，自己每秒回复3%的最大生命值[/blue],$[green]+800生命值<br>+200%基础生命回复<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]脱离战斗状态下，自己每秒回复3%的最大生命值[/blue],0,,[size=18][orange]后期坦克核心装[/orange][/size]
140,$冰龙叹息,1,10,4;4,4001;4003,0,,0,200;170,,2800,1400,4095;4096;6125;19290,1;1;2;1,,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,2025,,,,$[green]+400生命值<br>+55魔抗<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]15米范围内所有敌方英雄受到技能伤害提升10%[/blue],$[green]+400生命值<br>+55魔抗<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]15米范围内所有敌方英雄受到技能伤害提升10%[/blue],0,,[size=18][orange]坦克打团装[/orange][/size]
219,$秘银权杖,1,105,4;4;4;4,4001;4006;4006;4004,0,,0,,,3200,1600,19037;19038;19039;19040,1;1;1;2,,,,,,0,0,0,0,0,1,6,,,,,,$[green]+700生命值<br>+400法力值<br>+200%基础法力回复[/green]<br>[yellow]唯一被动：[/yellow][blue]+40%冷却缩减[/blue],$[green]+700生命值<br>+400法力值<br>+200%基础法力回复[/green]<br>[yellow]唯一被动：[/yellow][blue]+40%冷却缩减[/blue],0,,[size=18][orange]提高持续输出[/orange][/size]
124,$冰霜重铠,1,12,4;4;4;4,4002;4001;4003;4004,0,,0,172;231;170,,2800,1400,4066;4179;6035;4254;19272,1;1;2;1;2,,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+300生命<br>+30护甲<br>+30魔抗[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动：[/yellow][blue]降低15米范围内敌方英雄15%移动速度[/blue],$[green]+300生命<br>+30护甲<br>+30魔抗[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动：[/yellow][blue]降低15米范围内敌方英雄15%移动速度[/blue],0,,[size=18][orange]降低友方受到伤害[/orange][/size]
125,$苦难荆棘,1,13,4;4,4002;4001,0,,0,172;151;171,,2700,1350,4067;4180;5780;6039,1;2;2;1,5880,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+300生命值<br>+70护甲[/green]<br>[yellow]唯一被动：[/yellow][blue]受到英雄普攻时，会给攻击者反弹真实伤害。伤害量相当于普攻造成的实际伤害量的30%。[/blue],$[green]+300生命值<br>+70护甲[/green]<br>[yellow]唯一被动：[/yellow][blue]受到英雄普攻时，会给攻击者反弹真实伤害。伤害量相当于普攻造成的实际伤害量的30%。[/blue],0,,[size=18][orange]克普攻吸血[/orange][/size]
228,$共振引擎,1,102,4;4;5,4001;4002;5001,0,,0,150;172,,2400,1200,19151;19152;19153,1;1;2,19154,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+400生命值<br>+30护甲[/green]<br>[yellow]唯一被动：[/yellow][blue]提升周围友方英雄和自己5%的移动速度、10%的攻击力和10%的法强[/blue],$[green]+400生命值<br>+30护甲[/green]<br>[yellow]唯一被动：[/yellow][blue]提升周围友方英雄和自己5%的移动速度、10%的攻击力和10%的法强[/blue],0,,[size=18][orange]抱团进攻[/orange][/size]
227,$矩阵核心,1,103,4;4;5,4001;4003;5001,0,,0,170;150,,2400,1200,19143;19144;19145,1;1;2,19146,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+400生命值<br>+30魔抗[/green]<br>[yellow]唯一被动：[/yellow][blue]周围友方英雄和自己提升20点双抗，并且每秒固定回血提升5点[/blue],$[green]+400生命值<br>+30魔抗[/green]<br>[yellow]唯一被动：[/yellow][blue]周围友方英雄和自己提升20点双抗，并且每秒固定回血提升5点[/blue],0,,[size=18][orange]抱团防守[/orange][/size]
220,$核动力铠甲,1,206,4;4,4002;4003,0,,0,170;238,,2500,1250,19057;19058;19059,1;1;2,19060,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+50护甲<br>+25魔抗[/green]<br>[yellow]唯一被动：[/yellow][blue]每受到敌方英雄攻击增加一层活性防御，最多20层，可获得+100护甲、+40魔抗，持续5秒[/blue],$[green]+50护甲<br>+25魔抗[/green]<br>[yellow]唯一被动：[/yellow][blue]每受到敌方英雄攻击增加一层活性防御，最多20层，可获得+100护甲、+40魔抗，持续5秒[/blue],0,,[size=18][orange]抗持续伤害[/orange][/size]
194,$炽天使之羽,1,4,4,4002,0,,0,172;172,136,1250,625,5175;5284;5924,1;2;1,5388,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+35护甲[/green]<br>[yellow]唯一被动：[/yellow][blue]每秒对周围敌人造成15（+1*等级）点魔法伤害。[/blue],$[green]+35护甲[/green]<br>[yellow]唯一被动：[/yellow][blue]每秒对周围敌人造成15（+1*等级）点魔法伤害。[/blue],1,1,  
239,$原力核晶,1,120,4;4,4001;4005,0,,0,171;242;242,221,1300,650,19200;19201,1;1,,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+300生命值<br>+200%基础生命回复[/green],$[green]+300生命值<br>+200%基础生命回复[/green],1,1,  
157,$魔力面具,1,33,4;4;4,4002;4006;4006,0,,0,172;169;243,204,1200,600,4414;4415;19241,1;1;1,,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+25护甲<br>+250法力值<br>+100%法力回复[/green],$[green]+25护甲<br>+250法力值<br>+100%法力回复[/green],1,1,  
200,$守护之光,1,62,4;4,4001;4003,0,,0,171,139;140,1200,600,5180;19244,1;1,,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+300生命值<br>+30魔抗[/green],$[green]+300生命值<br>+30魔抗[/green],1,1,  
238,$动力铠甲,1,205,4,4002,0,,0,172,220,700,350,19175;19176,1;2,19177,,,,7;8;9;10;13;14,0,0,0,0,0,1,6,,,,,,$[green]+20护甲[/green]<br>[yellow]唯一被动：[/yellow][blue]受到敌方英雄攻击次数越多，护甲越高，每次增加2点护甲，持续3秒，最多20层[/blue],$[green]+20护甲[/green]<br>[yellow]唯一被动：[/yellow][blue]受到敌方英雄攻击次数越多，护甲越高，每次增加2点护甲，持续3秒，最多20层[/blue],1,1,  
150,$巨人腰带,1,5,4,4001,0,,0,171,136;244;221;228;227;131,960,480,4405,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+400生命值[/green],$[green]+400生命值[/green],1,1,  
151,$锁子甲,1,7,4,4002,0,,0,172,204;135;125,720,360,4406,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+40护甲[/green],$[green]+40护甲[/green],1,1,  
149,$流浪法衣,1,94,4,4003,0,,0,170,,650,325,4404,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+40魔抗[/green],$[green]+40魔抗[/green],1,1,  
170,$抗魔斗篷,1,93,4,4003,0,,0,,139;140;124;227;220;149;237;156,450,225,4427,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+25魔抗[/green],$[green]+25魔抗[/green],1,1,  
171,$红水晶,1,72,4,4001,0,,0,,125;239;200;150;167;201;116;132;133;193;230;166;231,400,200,4428,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+150生命值[/green],$[green]+150生命值[/green],1,1,  
172,$皮甲,1,6,4,4002,0,,0,,124;125;228;194;157;238;151;236,300,150,4429,1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+15护甲[/green],$[green]+15护甲[/green],1,1,  
106,$死神的凝视,1,69,3;3;3,3001;3004;3002,0,,0,168;148;168,,2800,1400,4043;4101;4107;4147,1;1;1;2;,,4147,2,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+80法强<br>+100%法力回复[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动：[/yellow][blue]伤害型技能在命中敌方英雄时会灼烧目标3秒，每秒造成目标当前生命值3%的魔法伤害。（3秒内无法对同一目标生效）[/blue],$[green]+80法强<br>+100%法力回复[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动：[/yellow][blue]伤害型技能在命中敌方英雄时会灼烧目标3秒，每秒造成目标当前生命值3%的魔法伤害。（3秒内无法对同一目标生效）[/blue],0,1,[size=18][orange]远程消耗[/orange][/size]
107,$雷霆法典,1,3,3,3001,0,,0,145;168,,2600,1300,4044;19309,1;2,1261,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2006,,,,$[green]+100法强[/green]<br>[yellow]唯一被动：[/yellow][blue]对敌方英雄的第3次普攻或技能攻击能对其造成200（+0.2*法强）点额外魔法伤害。冷却30秒。[/blue],$[green]+100法强[/green]<br>[yellow]唯一被动：[/yellow][blue]对敌方英雄的第3次普攻或技能攻击能对其造成[orange][MA=20+200][/orange]点额外魔法伤害。冷却30秒。[/blue],0,1,[size=18][orange]提升单体秒人[/orange][/size]
108,$摄魂,1,75,3;3;4,3001;3004;4001,0,,0,168;167;169,,2950,1475,4045;4108;4575;4577;4132;4133;6127,1;1;2;2;2;2;1,4363,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+70法强<br>+300生命值<br>+400法力值[/green]<br>[yellow]唯一被动_灵魂汲取：[/yellow][blue]附近敌方小兵或野怪死亡能增加法强和法力值，最多加60法强，600法力值。[/blue]<br>[yellow]唯一被动：[/yellow][blue]击杀和助攻在5秒内回复150点血量。[/blue],$[green]+70法强<br>+300生命值<br>+400法力值[/green]<br>[yellow]唯一被动_灵魂汲取：[/yellow][blue]附近敌方小兵或野怪死亡能增加法强和法力值，最多加60法强，600法力值。[/blue]<br>[yellow]唯一被动：[/yellow][blue]击杀和助攻在5秒内回复150点血量。[/blue],0,1,[size=18][orange]发育[/orange][/size]
114,$圣光裁决,1,78,3;3;7;3,3001;3003;7001;3002,0,,0,195;148,,2600,1300,4054;4145;4102;19269,1;2;1;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+80法强<br>+10%移动速度<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]+20法术穿透[/blue],$[green]+80法强<br>+10%移动速度<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]+20法术穿透[/blue],0,1,[size=18][orange]前期打架[/orange][/size]
217,$支配者面具,1,212,3;3;4;3,3001;3005;4001;3002,0,,0,167;233,,2600,1300,19025;19026;19027;19028,1;2;1;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+80法强<br>+300生命值<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]+15%法术吸血[/blue],$[green]+80法强<br>+300生命值<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]+15%法术吸血[/blue],0,1,[size=18][orange]法术吸血[/orange][/size]
218,$巫师帽子,1,207,3;4,3001;4003,0,,0,237;232,,2550,1275,19029;19030;19035;19168,1;1;2;2,19036,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+70法强<br>+40魔抗[/green]<br>[yellow]唯一被动：[/yellow][blue]降低周围敌人20点魔抗，同时降低周围敌人身上20%的护盾值[/blue],$[green]+70法强<br>+40魔抗[/green]<br>[yellow]唯一被动：[/yellow][blue]降低周围敌人20点魔抗，同时降低周围敌人身上20%的护盾值[/blue],0,1,[size=18][orange]适合突进型法师[/orange][/size]
113,$至尊魔戒,1,38,3,3001,0,,0,168;145;168,,3350,1675,4053;4144,1;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+120法强[/green]<br>[yellow]唯一被动：[/yellow][blue]提升你35%的法强。[/blue],$[green]+120法强[/green]<br>[yellow]唯一被动：[/yellow][blue]提升你35%的法强。[/blue],0,1,[size=18][orange]法系后排核心装[/orange][/size]
224,$混沌法球,1,117,3;3;3,3001;3004;3002,0,,0,145;146,,2550,1275,19041;19042;19043;19047;19040;19287,1;1;1;2;2;2,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+80法强<br>+300法力值[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动：[/yellow][blue]+等级*50点法力值[/blue],$[green]+80法强<br>+300法力值[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷却缩减[/blue]<br>[yellow]唯一被动：[/yellow][blue]+[LEVEL=5000]点法力值[/blue],0,1,[size=18][orange]法系第一回蓝装[/orange][/size]
109,$腐蚀之触,1,76,3;4,3001;4002,0,,0,168;236;168,,2650,1325,4046;4047;4135;19291,1;1;2;1,,4135,2,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+70法强<br>+40护甲<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]对敌方英雄每造成一次魔法伤害，会降低目标5%魔抗，持续5秒，最多减少25%的魔抗。[/blue],$[green]+70法强<br>+40护甲<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]对敌方英雄每造成一次魔法伤害，会降低目标5%魔抗，持续5秒，最多减少25%的魔抗。[/blue],0,1,[size=18][orange]提高持续法伤[/orange][/size]
110,$凛冬法杖,1,79,4;3,4001;3001,0,,0,168;167;168,,2550,1275,4048;4049;4136;4157,1;1;2;2,,19254,2,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,,,,,$[green]+400生命值<br>+70法强[/green]<br>[yellow]唯一被动：[/yellow][blue]技能命中敌方英雄时会减少其30%的移速，持续2秒[/blue],$[green]+400生命值<br>+70法强[/green]<br>[yellow]唯一被动：[/yellow][blue]技能命中敌方英雄时会减少其30%的移速，持续2秒[/blue],0,1,[size=18][orange]法坦粘人[/orange][/size]
111,$救赎者斗篷 ,1,97,4;3;3,4002;3001;3002,0,,0,236;148,,2600,1300,4050;4051;6907;19268,1;1;2;1,,,,,7;8;9;10;13;14;15,0,0,0,0,0,1,6,,2008,,,,$[green]+40护甲<br>+70法强<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]当你的生命值低于30%时，你的移速会达到极限速度，并免疫一切控制和减速效果，持续3秒。（冷却90秒）[/blue],$[green]+40护甲<br>+70法强<br>+10%冷却缩减[/green]<br>[yellow]唯一被动：[/yellow][blue]当你的生命值低于30%时，你的移速会达到极限速度，并免疫一切控制和减速效果，持续3秒。（冷却90秒）[/blue],0,1,[size=18][orange]强力保命[/orange][/size]
